time,Fz,Mx,My,Mz
5.620000000000000107e+00,1.363127899169921875e+01,3.465106338262557983e-02,-2.583648602012544870e-04,-8.574048406444489956e-04
5.629999999999999893e+00,1.271489048004150391e+01,3.391312668099999428e-03,3.610431402921676636e-02,-6.006512790918350220e-03
5.639999999999999680e+00,1.352210807800292969e+01,3.392095118761062622e-02,-9.086943231523036957e-03,-3.982770722359418869e-04
5.650000000000000355e+00,1.265596866607666016e+01,2.579157706350088120e-03,2.627815492451190948e-02,-5.190560594201087952e-03
5.660000000000000142e+00,1.358900451660156250e+01,3.112266771495342255e-02,-1.890596002340316772e-02,4.043802910018712282e-04
5.669999999999999929e+00,1.275302600860595703e+01,-1.305882120504975319e-03,1.608087494969367981e-02,-4.660982638597488403e-03
5.679999999999999716e+00,1.378816223144531250e+01,2.521773241460323334e-02,-2.983599901199340820e-02,4.580916720442473888e-04
5.690000000000000391e+00,1.296970558166503906e+01,-8.349523879587650299e-03,5.952766165137290955e-03,-4.770332481712102890e-03
5.700000000000000178e+00,1.407738399505615234e+01,1.616822555661201477e-02,-3.838220983743667603e-02,1.474882126785814762e-03
5.709999999999999964e+00,1.328091239929199219e+01,-1.824789866805076599e-02,-3.951660473830997944e-04,-3.750128205865621567e-03
5.719999999999999751e+00,1.435890483856201172e+01,3.418458625674247742e-03,-4.425230994820594788e-02,2.801512368023395538e-03
5.730000000000000426e+00,1.360663414001464844e+01,-2.986129932105541229e-02,-2.523260191082954407e-03,-1.867713872343301773e-03
5.740000000000000213e+00,1.462659358978271484e+01,-8.830479346215724945e-03,-4.557485878467559814e-02,4.772648215293884277e-03
5.750000000000000000e+00,1.382259178161621094e+01,-4.163147509098052979e-02,-1.018329174257814884e-03,7.266479951795190573e-05
5.759999999999999787e+00,1.478866958618164062e+01,-1.843224652111530304e-02,-4.239833727478981018e-02,6.991522852331399918e-03
5.770000000000000462e+00,1.390112304687500000e+01,-4.888946935534477234e-02,3.911415114998817444e-03,1.982841407880187035e-03
5.780000000000000249e+00,1.482080745697021484e+01,-2.432064712047576904e-02,-3.634261712431907654e-02,8.487235754728317261e-03
5.790000000000000036e+00,1.383924102783203125e+01,-5.159811675548553467e-02,9.854354895651340485e-03,2.408550819382071495e-03
5.799999999999999822e+00,1.469036006927490234e+01,-2.556672319769859314e-02,-3.047240339219570160e-02,8.052924647927284241e-03
5.810000000000000497e+00,1.364636802673339844e+01,-4.966211691498756409e-02,1.599623449146747589e-02,2.142388839274644852e-03
5.820000000000000284e+00,1.448715686798095703e+01,-2.162581868469715118e-02,-2.468679845333099365e-02,7.165630813688039780e-03
5.830000000000000071e+00,1.341293525695800781e+01,-4.299252107739448547e-02,2.146330103278160095e-02,1.696871710009872913e-03
5.839999999999999858e+00,1.423370456695556641e+01,-1.362293586134910583e-02,-2.074801176786422729e-02,6.950397510081529617e-03
5.850000000000000533e+00,1.317350482940673828e+01,-3.286295384168624878e-02,2.449289895594120026e-02,1.798124052584171295e-03
5.860000000000000320e+00,1.396239376068115234e+01,-4.572449717670679092e-03,-1.859322190284729004e-02,6.602532695978879929e-03
5.870000000000000107e+00,1.297538280487060547e+01,-2.209818549454212189e-02,2.549233101308345795e-02,1.423100824467837811e-03
5.879999999999999893e+00,1.363314628601074219e+01,2.732515800744295120e-03,-1.911433227360248566e-02,6.274518556892871857e-03
5.889999999999999680e+00,1.275901126861572266e+01,-1.332113891839981079e-02,2.389652840793132782e-02,1.157057820819318295e-03
5.900000000000000355e+00,1.349447536468505859e+01,9.171578101813793182e-03,-2.178615517914295197e-02,5.495383404195308685e-03
5.910000000000000142e+00,1.270340633392333984e+01,-6.129165180027484894e-03,2.025573141872882843e-02,7.768517825752496719e-04
5.919999999999999929e+00,1.355654907226562500e+01,1.406111195683479309e-02,-2.541431970894336700e-02,4.454555921256542206e-03
5.929999999999999716e+00,1.281672763824462891e+01,-4.886487731710076332e-04,1.626429334282875061e-02,-1.713722303975373507e-04
5.940000000000000391e+00,1.377736568450927734e+01,1.589279249310493469e-02,-2.907571382820606232e-02,3.304756479337811470e-03
5.950000000000000178e+00,1.305433559417724609e+01,2.659217920154333115e-03,1.307528838515281677e-02,-1.772167626768350601e-03
5.959999999999999964e+00,1.404845619201660156e+01,1.565401442348957062e-02,-3.143228590488433838e-02,2.045952947810292244e-03
5.969999999999999751e+00,1.331278419494628906e+01,3.125157905742526054e-03,1.168714184314012527e-02,-3.120941575616598129e-03
5.980000000000000426e+00,1.429475879669189453e+01,1.353737059980630875e-02,-3.165867179632186890e-02,1.180822146125137806e-03
5.990000000000000213e+00,1.349709320068359375e+01,1.507309381850063801e-03,1.249393541365861893e-02,-3.870068816468119621e-03
